name,price,original_price,discount,rating,review_count,brand,seller,shipping,url,category
Corsair DRAM VENGEANCE RGB 32GB (2x16GB) DDR5 DRAM 6400MT/s CL32 Memory Kit  Black,"EGP 10,990.00","EGP 16,999.00",35%,,,Corsair,,,https://www.jumia.com.eg/customer/account/login/?tkWl=CO281DS2AWSGZNAFAMZ-211531552&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Rizyue R10 Dual Mode Bluetooth / 2.4G Wireless Mouse Lightweight - 3 Buttons - 1600 DPI - Mini Lightweight Design For Office Business (1x AA Battery Incoulded),EGP 199.00,EGP 250.00,20%,,,Rizyue,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA32X7EJNAFAMZ-211045005&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Mouse Pad With Gel Wrist Support - Blue,EGP 125.00,,,3.6 out of 5,3.6 out of 5(7),Mouse,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA1H28OANAFAMZ-37352431&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
1080p Hdmi Male To Vga Female Video Converter Adapter Cable With Audio - For Pc Dvd Hdtv,EGP 115.00,EGP 160.00,28%,4.8 out of 5,4.8 out of 5(4),1080p,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA2WCAVJNAFAMZ-187864889&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Lenovo 300 WIRELESS COMPACT MOUSE,EGP 580.00,EGP 600.00,3%,,,Lenovo,,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018EA2B3PMFNAFAMZ-211353823&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
"3-in-1 Fast Charging Cable – 120W Super Fast Charger (6A) – Metal USB For Micro, Type-C, And IOS – Orange",EGP 125.00,EGP 300.00,58%,,,3-in-1,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA2QQAV3NAFAMZ-211663977&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Qwen 05A CE505A Replacement Toner Cartridge,EGP 250.00,EGP 350.00,29%,,,Qwen,,,https://www.jumia.com.eg/customer/account/login/?tkWl=QW289EL0IRYC6NAFAMZ-37527872&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
JOY ROOM Cable Mobile JoyRoom M412pd,EGP 170.00,,,,,JOY,,,https://www.jumia.com.eg/customer/account/login/?tkWl=JO326EA0OZ72KNAFAMZ-128232889&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Canon Pixma 446 Colour Ink-Cartridge CL-446,EGP 765.00,,,5 out of 5,5 out of 5(1),Canon,,,https://www.jumia.com.eg/customer/account/login/?tkWl=CA011EA30M60ENAFAMZ-177321452&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
"Epson Original Ink 103 Eco Tank Bottle, Printer- Magenta",EGP 700.00,,,5 out of 5,5 out of 5(2),Epson,,,https://www.jumia.com.eg/epson-original-ink-103-eco-tank-bottle-printer-magenta-107758511.html,computing-accessories
300Mbps 802.11 N/g/b Mini USB WiFi Wireless LAN Adapter With Antenna,EGP 285.00,,,3.5 out of 5,3.5 out of 5(15),300Mbps,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0DZGVWNAFAMZ-45152767&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Onikuma Headphone Wired Gaming Professional Pink K5,EGP 490.00,EGP 750.00,35%,,,Onikuma,,,https://www.jumia.com.eg/customer/account/login/?tkWl=ON841EA1UZET7NAFAMZ-186268806&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Cute Penguins Mouse Pad,EGP 140.00,,,5 out of 5,5 out of 5(1),Cute,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810EA0Q07P5NAFAMZ-63207183&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
usb led,EGP 55.00,,,,,usb,,,https://www.jumia.com.eg/generic-usb-led-106676942.html,computing-accessories
Dahua Flash Drive Dahua DHI-USB-U106 8 GB,EGP 149.00,EGP 250.00,40%,,,Dahua,,,https://www.jumia.com.eg/customer/account/login/?tkWl=DA108EA0YY6CRNAFAMZ-61169737&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
Meetion Wireless Ultra-thin Apple Keyboard ikey K210,"EGP 1,099.00","EGP 1,449.00",24%,,,Meetion,,,https://www.jumia.com.eg/customer/account/login/?tkWl=ME632EC1ORQKFNAFAMZ-211114455&return=%2Fcomputing-accessories%2F%3Fpage%3D15,computing-accessories
